SNV	cluster0	cluster	dcf0	dcf1
0	1	0	0.24	0.19
1	1	0	0.24	0.19
2	1	0	0.24	0.19
3	1	0	0.24	0.19
4	1	0	0.24	0.19
5	1	0	0.24	0.19
6	1	0	0.24	0.19
7	1	0	0.24	0.19
8	1	0	0.24	0.19
9	1	0	0.24	0.19
10	1	0	0.24	0.19
11	1	0	0.24	0.19
12	1	0	0.24	0.19
13	1	0	0.24	0.19
14	1	0	0.24	0.19
15	1	0	0.24	0.19
16	1	0	0.24	0.19
17	1	0	0.24	0.19
18	1	0	0.24	0.19
19	1	0	0.24	0.19
20	1	0	0.24	0.19
21	1	0	0.24	0.19
22	1	0	0.24	0.19
23	1	0	0.24	0.19
24	1	0	0.24	0.19
25	1	0	0.24	0.19
26	1	0	0.24	0.19
27	1	0	0.24	0.19
28	1	0	0.24	0.19
29	1	0	0.24	0.19
30	1	0	0.24	0.19
31	1	0	0.24	0.19
32	1	0	0.24	0.19
33	1	0	0.24	0.19
34	1	0	0.24	0.19
35	1	0	0.24	0.19
36	1	0	0.24	0.19
37	1	0	0.24	0.19
38	1	0	0.24	0.19
39	1	0	0.24	0.19
40	1	0	0.24	0.19
41	1	0	0.24	0.19
42	1	0	0.24	0.19
43	1	0	0.24	0.19
44	1	0	0.24	0.19
45	1	0	0.24	0.19
46	1	0	0.24	0.19
47	1	0	0.24	0.19
48	1	0	0.24	0.19
49	1	0	0.24	0.19
50	1	0	0.24	0.19
51	1	0	0.24	0.19
52	1	0	0.24	0.19
53	1	0	0.24	0.19
54	1	0	0.24	0.19
55	1	0	0.24	0.19
56	1	0	0.24	0.19
57	1	0	0.24	0.19
58	1	0	0.24	0.19
59	1	0	0.24	0.19
60	1	0	0.24	0.19
61	1	0	0.24	0.19
62	1	0	0.24	0.19
63	1	0	0.24	0.19
64	1	0	0.24	0.19
65	1	0	0.24	0.19
66	1	0	0.24	0.19
67	1	0	0.24	0.19
68	1	0	0.24	0.19
69	1	0	0.24	0.19
70	1	0	0.24	0.19
71	1	0	0.24	0.19
72	1	0	0.24	0.19
73	1	0	0.24	0.19
74	1	0	0.24	0.19
75	1	0	0.24	0.19
76	1	0	0.24	0.19
77	1	0	0.24	0.19
78	1	0	0.24	0.19
79	1	0	0.24	0.19
80	1	0	0.24	0.19
81	1	0	0.24	0.19
82	1	0	0.24	0.19
83	1	0	0.24	0.19
84	1	0	0.24	0.19
85	1	0	0.24	0.19
86	1	0	0.24	0.19
87	1	0	0.24	0.19
88	1	0	0.24	0.19
89	1	0	0.24	0.19
90	1	0	0.24	0.19
91	1	0	0.24	0.19
92	1	0	0.24	0.19
93	1	0	0.24	0.19
94	1	0	0.24	0.19
95	1	0	0.24	0.19
96	1	0	0.24	0.19
97	1	0	0.24	0.19
98	1	0	0.24	0.19
99	1	0	0.24	0.19
100	1	0	0.24	0.19
101	1	0	0.24	0.19
102	1	0	0.24	0.19
103	1	0	0.24	0.19
104	1	0	0.24	0.19
105	1	0	0.24	0.19
106	1	0	0.24	0.19
107	1	0	0.24	0.19
108	1	0	0.24	0.19
109	1	0	0.24	0.19
110	1	0	0.24	0.19
111	1	0	0.24	0.19
112	1	0	0.24	0.19
113	1	0	0.24	0.19
114	1	0	0.24	0.19
115	1	0	0.24	0.19
116	1	0	0.24	0.19
117	1	0	0.24	0.19
118	1	0	0.24	0.19
119	1	0	0.24	0.19
120	1	0	0.24	0.19
121	1	0	0.24	0.19
122	1	0	0.24	0.19
123	1	0	0.24	0.19
124	1	0	0.24	0.19
125	1	0	0.24	0.19
126	1	0	0.24	0.19
127	1	0	0.24	0.19
128	1	0	0.24	0.19
129	1	0	0.24	0.19
130	1	0	0.24	0.19
131	1	0	0.24	0.19
132	1	0	0.24	0.19
133	1	0	0.24	0.19
134	1	0	0.24	0.19
135	1	0	0.24	0.19
136	1	0	0.24	0.19
137	1	0	0.24	0.19
138	1	0	0.24	0.19
139	1	0	0.24	0.19
140	1	0	0.24	0.19
141	1	0	0.24	0.19
142	1	0	0.24	0.19
143	1	0	0.24	0.19
144	1	0	0.24	0.19
145	1	0	0.24	0.19
146	1	0	0.24	0.19
147	1	0	0.24	0.19
148	1	0	0.24	0.19
149	1	0	0.24	0.19
150	1	0	0.24	0.19
151	1	0	0.24	0.19
152	1	0	0.24	0.19
153	1	0	0.24	0.19
154	1	0	0.24	0.19
155	1	0	0.24	0.19
156	1	0	0.24	0.19
157	1	0	0.24	0.19
158	1	0	0.24	0.19
159	1	0	0.24	0.19
160	1	0	0.24	0.19
161	1	0	0.24	0.19
162	1	0	0.24	0.19
163	1	0	0.24	0.19
164	1	0	0.24	0.19
165	1	0	0.24	0.19
166	1	0	0.24	0.19
167	1	0	0.24	0.19
168	1	0	0.24	0.19
169	1	0	0.24	0.19
170	1	0	0.24	0.19
171	1	0	0.24	0.19
172	1	0	0.24	0.19
173	1	0	0.24	0.19
174	1	0	0.24	0.19
175	1	0	0.24	0.19
176	1	0	0.24	0.19
177	1	0	0.24	0.19
178	1	0	0.24	0.19
179	1	0	0.24	0.19
180	1	0	0.24	0.19
181	1	0	0.24	0.19
182	1	0	0.24	0.19
183	1	0	0.24	0.19
184	1	0	0.24	0.19
185	1	0	0.24	0.19
186	1	0	0.24	0.19
187	1	0	0.24	0.19
188	1	0	0.24	0.19
189	1	0	0.24	0.19
190	1	0	0.24	0.19
191	1	0	0.24	0.19
192	1	0	0.24	0.19
193	1	0	0.24	0.19
194	1	0	0.24	0.19
195	1	0	0.24	0.19
196	1	0	0.24	0.19
197	1	0	0.24	0.19
198	1	0	0.24	0.19
199	1	0	0.24	0.19
200	1	0	0.24	0.19
201	1	0	0.24	0.19
202	1	0	0.24	0.19
203	1	0	0.24	0.19
204	1	0	0.24	0.19
205	1	0	0.24	0.19
206	1	0	0.24	0.19
207	1	0	0.24	0.19
208	1	0	0.24	0.19
209	1	0	0.24	0.19
210	1	0	0.24	0.19
211	1	0	0.24	0.19
212	1	0	0.24	0.19
213	1	0	0.24	0.19
214	1	0	0.24	0.19
215	1	0	0.24	0.19
216	1	0	0.24	0.19
217	1	0	0.24	0.19
218	1	0	0.24	0.19
219	1	0	0.24	0.19
220	1	0	0.24	0.19
221	1	0	0.24	0.19
222	1	0	0.24	0.19
223	1	0	0.24	0.19
224	1	0	0.24	0.19
225	1	0	0.24	0.19
226	1	0	0.24	0.19
227	1	0	0.24	0.19
228	1	0	0.24	0.19
229	1	0	0.24	0.19
230	1	0	0.24	0.19
231	1	0	0.24	0.19
232	1	0	0.24	0.19
233	1	0	0.24	0.19
234	1	0	0.24	0.19
235	1	0	0.24	0.19
236	1	0	0.24	0.19
237	1	0	0.24	0.19
238	1	0	0.24	0.19
239	1	0	0.24	0.19
240	1	0	0.24	0.19
241	1	0	0.24	0.19
242	1	0	0.24	0.19
243	1	0	0.24	0.19
244	1	0	0.24	0.19
245	1	0	0.24	0.19
246	1	0	0.24	0.19
247	1	0	0.24	0.19
248	1	0	0.24	0.19
249	1	0	0.24	0.19
250	1	0	0.24	0.19
251	1	0	0.24	0.19
252	1	0	0.24	0.19
253	1	0	0.24	0.19
254	1	0	0.24	0.19
255	1	0	0.24	0.19
256	1	0	0.24	0.19
