SNV	cluster0	cluster	dcf0	dcf1
0	1	0	0.29	0.41
1	1	0	0.29	0.41
2	1	0	0.29	0.41
3	1	0	0.29	0.41
4	1	0	0.29	0.41
5	1	0	0.29	0.41
6	1	0	0.29	0.41
7	1	0	0.29	0.41
8	1	0	0.29	0.41
9	1	0	0.29	0.41
10	1	0	0.29	0.41
11	1	0	0.29	0.41
12	1	0	0.29	0.41
13	1	0	0.29	0.41
14	1	0	0.29	0.41
15	1	0	0.29	0.41
16	1	0	0.29	0.41
17	1	0	0.29	0.41
18	1	0	0.29	0.41
19	1	0	0.29	0.41
20	1	0	0.29	0.41
21	1	0	0.29	0.41
22	1	0	0.29	0.41
23	1	0	0.29	0.41
24	1	0	0.29	0.41
25	1	0	0.29	0.41
26	1	0	0.29	0.41
27	1	0	0.29	0.41
28	1	0	0.29	0.41
29	1	0	0.29	0.41
30	1	0	0.29	0.41
31	1	0	0.29	0.41
32	1	0	0.29	0.41
33	1	0	0.29	0.41
34	1	0	0.29	0.41
35	1	0	0.29	0.41
36	1	0	0.29	0.41
37	1	0	0.29	0.41
38	1	0	0.29	0.41
39	1	0	0.29	0.41
40	1	0	0.29	0.41
41	1	0	0.29	0.41
42	1	0	0.29	0.41
43	1	0	0.29	0.41
44	1	0	0.29	0.41
45	1	0	0.29	0.41
46	1	0	0.29	0.41
47	1	0	0.29	0.41
48	1	0	0.29	0.41
49	1	0	0.29	0.41
50	1	0	0.29	0.41
51	1	0	0.29	0.41
52	1	0	0.29	0.41
53	1	0	0.29	0.41
54	1	0	0.29	0.41
55	1	0	0.29	0.41
56	1	0	0.29	0.41
57	1	0	0.29	0.41
58	1	0	0.29	0.41
59	1	0	0.29	0.41
60	1	0	0.29	0.41
61	1	0	0.29	0.41
62	1	0	0.29	0.41
63	1	0	0.29	0.41
64	1	0	0.29	0.41
65	1	0	0.29	0.41
66	1	0	0.29	0.41
67	1	0	0.29	0.41
68	1	0	0.29	0.41
69	1	0	0.29	0.41
70	1	0	0.29	0.41
71	1	0	0.29	0.41
72	1	0	0.29	0.41
73	1	0	0.29	0.41
74	1	0	0.29	0.41
75	1	0	0.29	0.41
76	1	0	0.29	0.41
77	1	0	0.29	0.41
78	1	0	0.29	0.41
79	1	0	0.29	0.41
80	1	0	0.29	0.41
81	1	0	0.29	0.41
82	1	0	0.29	0.41
83	1	0	0.29	0.41
84	1	0	0.29	0.41
85	1	0	0.29	0.41
86	1	0	0.29	0.41
87	1	0	0.29	0.41
88	1	0	0.29	0.41
89	1	0	0.29	0.41
90	1	0	0.29	0.41
91	1	0	0.29	0.41
92	1	0	0.29	0.41
93	1	0	0.29	0.41
94	1	0	0.29	0.41
95	1	0	0.29	0.41
96	1	0	0.29	0.41
97	1	0	0.29	0.41
98	1	0	0.29	0.41
99	1	0	0.29	0.41
100	1	0	0.29	0.41
101	1	0	0.29	0.41
102	1	0	0.29	0.41
103	1	0	0.29	0.41
104	1	0	0.29	0.41
105	1	0	0.29	0.41
106	1	0	0.29	0.41
107	1	0	0.29	0.41
108	1	0	0.29	0.41
109	1	0	0.29	0.41
110	1	0	0.29	0.41
111	1	0	0.29	0.41
112	1	0	0.29	0.41
113	1	0	0.29	0.41
114	1	0	0.29	0.41
115	1	0	0.29	0.41
116	1	0	0.29	0.41
117	1	0	0.29	0.41
118	1	0	0.29	0.41
119	1	0	0.29	0.41
120	1	0	0.29	0.41
121	1	0	0.29	0.41
122	1	0	0.29	0.41
123	1	0	0.29	0.41
124	1	0	0.29	0.41
125	1	0	0.29	0.41
126	1	0	0.29	0.41
127	1	0	0.29	0.41
128	1	0	0.29	0.41
129	1	0	0.29	0.41
130	1	0	0.29	0.41
131	1	0	0.29	0.41
132	1	0	0.29	0.41
133	1	0	0.29	0.41
134	1	0	0.29	0.41
135	1	0	0.29	0.41
136	1	0	0.29	0.41
137	1	0	0.29	0.41
138	1	0	0.29	0.41
139	1	0	0.29	0.41
140	1	0	0.29	0.41
141	1	0	0.29	0.41
142	1	0	0.29	0.41
143	1	0	0.29	0.41
144	1	0	0.29	0.41
145	1	0	0.29	0.41
146	1	0	0.29	0.41
147	1	0	0.29	0.41
148	1	0	0.29	0.41
149	1	0	0.29	0.41
150	1	0	0.29	0.41
151	1	0	0.29	0.41
152	1	0	0.29	0.41
153	1	0	0.29	0.41
154	1	0	0.29	0.41
155	1	0	0.29	0.41
156	1	0	0.29	0.41
157	1	0	0.29	0.41
158	1	0	0.29	0.41
159	1	0	0.29	0.41
160	1	0	0.29	0.41
161	1	0	0.29	0.41
162	1	0	0.29	0.41
